date,close,volume
,THYAO.IS,THYAO.IS
2020-01-02,14.487192153930664,109370878
2020-01-03,13.94013786315918,153873531
2020-01-06,13.256318092346191,136423179
2020-01-07,13.227011680603027,154729229
2020-01-08,13.187936782836914,197012716
2020-01-09,13.93036937713623,176543928
2020-01-10,14.057363510131836,158991847
2020-01-13,14.487192153930664,164642773
2020-01-14,14.477423667907715,166160589
2020-01-15,14.379734992980957,136224950
2020-01-16,14.692337989807129,219962631
2020-01-17,14.67280101776123,134816684
2020-01-20,14.731412887573242,94045278
2020-01-21,14.506730079650879,117047926
2020-01-22,14.418810844421387,108602472
2020-01-23,13.93036937713623,146183222
2020-01-24,14.203895568847656,136142742
2020-01-27,13.774067878723145,114894300
2020-01-28,13.832679748535156,127703336
2020-01-29,13.783835411071777,90320863
2020-01-30,13.471233367919922,143112881
2020-01-31,13.383313179016113,98842870
2020-02-03,13.510308265686035,118491958
2020-02-04,14.008519172668457,96215806
2020-02-05,14.27227783203125,198619514
2020-02-06,14.389503479003906,168210476
2020-02-07,14.12574577331543,76038851
2020-02-10,13.695916175842285,149563493
2020-02-11,13.959674835205078,150271621
2020-02-12,14.477423667907715,212069807
2020-02-13,14.663031578063965,171929792
2020-02-14,14.545805931091309,108863025
2020-02-17,14.936559677124023,124912791
2020-02-18,14.653263092041016,122651505
2020-02-19,14.584881782531738,82752415
2020-02-20,14.057363510131836,116506398
2020-02-21,14.155051231384277,128148029
2020-02-24,13.5396146774292,174797759
2020-02-25,13.187936782836914,244999770
2020-02-26,12.94371509552002,189263416
2020-02-27,11.986370086669922,216586120
2020-02-28,11.527234077453613,147785166
2020-03-02,11.576077461242676,101554649
2020-03-03,11.800760269165039,94703893
2020-03-04,11.488158226013184,90516336
2020-03-05,11.439313888549805,78672791
2020-03-06,10.872721672058105,97351977
2020-03-09,10.140057563781738,96990338
2020-03-10,9.739535331726074,104533153
2020-03-11,9.739535331726074,0
2020-03-12,8.283977508544922,77819775
2020-03-13,8.889646530151367,133539818
2020-03-16,8.039755821228027,85885196
2020-03-17,7.736922740936279,137085691
2020-03-18,7.756460189819336,129412103
2020-03-19,7.7466912269592285,92059778
2020-03-20,7.795536041259766,67712234
2020-03-23,7.5610833168029785,61276481
2020-03-24,8.117908477783203,109673958
2020-03-25,8.53796672821045,150114310
2020-03-26,9.045948028564453,162117514
2020-03-27,8.674731254577637,169169261
2020-03-30,8.489123344421387,86730646
2020-03-31,8.840802192687988,81153867
2020-04-01,8.772419929504395,85277713
2020-04-02,8.772419929504395,44118409
2020-04-03,8.723576545715332,32747766
2020-04-06,8.958027839660645,64688644
2020-04-07,9.30970573425293,166420185
2020-04-08,9.33901309967041,83586500
2020-04-09,9.52462100982666,99564515
2020-04-10,9.573465347290039,74712308
2020-04-13,9.964218139648438,174266004
2020-04-14,10.677345275878906,193362055
2020-04-15,10.140057563781738,213075284
2020-04-16,9.93491268157959,103826716
2020-04-17,10.257284164428711,84831525
